Japanese,English,Source
味の素東門,Ajinomoto Higashimon,Auto-translated
味の素東門(1),Ajinomoto Higashimon (1),Auto-translated
味の素東門(2),Ajinomoto Higashimon (2),Auto-translated
呼子,Yobuko,Auto-translated
呼子公民館,Yobuko Community Center,Auto-translated
呼子公民館(1),Yobuko Community Center (1),Auto-translated
呼子公民館(2),Yobuko Community Center (2),Auto-translated
呼子台場みなとプラザ,Yobuko Daiba Minato Puraza,Auto-translated
呼子大橋,Yobuko Oohashi,Auto-translated
呼子市民センター前,Yobuko Shimin Center Mae,Auto-translated
和多田新道,Watada Shindou,Auto-translated
和多田新道(1),Watada Shindou (1),Auto-translated
和多田新道(2),Watada Shindou (2),Auto-translated
和崎,Wazaki,Mapped
和崎(1),Wazaki (1),Auto-translated
和泉野橋,Izumi Nohashi,Auto-translated
和田団地,Wada Danchi,Auto-translated
和田団地(1),Wada Danchi (1),Auto-translated
和田団地(2),Wada Danchi (2),Auto-translated
咾分,Rou Fun,Auto-translated
咾分(1),Rou Fun (1),Auto-translated
咾分(2),Rou Fun (2),Auto-translated
唐の川,Tou No Kawa,Auto-translated
唐人町,Tojinmachi,Mapped
唐人町(1),Toujin Machi (1),Auto-translated
唐人町(2),Toujin Machi (2),Auto-translated
唐川,Karakawa,Auto-translated
唐川(1),Karakawa (1),Auto-translated
唐川(2),Karakawa (2),Auto-translated
唐川商店前,Karakawa Shouten Mae,Auto-translated
唐房,Toubou,Auto-translated
唐房(1),Toubou (1),Auto-translated
唐房(2),Toubou (2),Auto-translated
唐房入口,Toubou Entrance,Auto-translated
唐房入口(1),Toubou Entrance (1),Auto-translated
唐房入口(2),Toubou Entrance (2),Auto-translated
唐津うまかもん市場前,Karatsu Umakamon Shijou Mae,Auto-translated
唐津うまかもん市場前(1),Karatsu Umakamon Shijou Mae (1),Auto-translated
唐津うまかもん市場前(2),Karatsu Umakamon Shijou Mae (2),Auto-translated
唐津インター口（原中原）,Karatsu Intaa Kuchi ( Hara Nakahara),Auto-translated
唐津インター口（原中原）(1),Karatsu Intaa Kuchi ( Hara Nakahara)(1),Auto-translated
唐津インター口（原中原）(2),Karatsu Intaa Kuchi ( Hara Nakahara)(2),Auto-translated
唐津フェリーターミナル,Karatsu Feriitaaminaru,Auto-translated
唐津南高下,Karatsu Minamidaka Shita,Auto-translated
唐津城入口,Karatsu Shiro Entrance,Auto-translated
唐津城入口(1),Karatsu Shiro Entrance (1),Auto-translated
唐津城入口(2),Karatsu Shiro Entrance (2),Auto-translated
唐津東中高前,Karatsu Higashinaka Taka Mae,Auto-translated
唐津東中高前(1),Karatsu Higashinaka Taka Mae (1),Auto-translated
唐津東中高前(2),Karatsu Higashinaka Taka Mae (2),Auto-translated
唐津特別支援学校前,Karatsu Tokubetsu Shien Gakkou Mae,Auto-translated
唐津特別支援学校前(1),Karatsu Tokubetsu Shien Gakkou Mae (1),Auto-translated
唐津特別支援学校前(2),Karatsu Tokubetsu Shien Gakkou Mae (2),Auto-translated
唐津自動車学校前,Karatsu Jidoushagakkou Mae,Auto-translated
唐津自動車学校前(1),Karatsu Jidoushagakkou Mae (1),Auto-translated
唐津自動車学校前(2),Karatsu Jidoushagakkou Mae (2),Auto-translated
唐津赤十字病院,Karatsu Sekijuuji Byouin,Auto-translated
唐津青翔高校前,Karatsu Seishou High School Mae,Auto-translated
唐津青翔高校前(1),Karatsu Seishou High School Mae (1),Auto-translated
唐津青翔高校前(2),Karatsu Seishou High School Mae (2),Auto-translated
唐津駅,Karatsu Station,Auto-translated
唐津駅(1),Karatsu Station (1),Auto-translated
商工会前,Shoukou Kai Mae,Auto-translated
商工会前(1),Shoukou Kai Mae (1),Auto-translated
商工会前(2),Shoukou Kai Mae (2),Auto-translated
商業校門前,Shougyou Koumon Mae,Auto-translated
商業校門前(1),Shougyou Koumon Mae (1),Auto-translated
商業校門前(2),Shougyou Koumon Mae (2),Auto-translated
商業高校前,Shogyokoumon,Mapped
商業高校前(1),Shougyoukoukou Mae (1),Auto-translated
商業高校前(2),Shougyoukoukou Mae (2),Auto-translated
嘉瀬元町,Kasemotomachi,Mapped
嘉瀬元町(1),Kase Motomachi (1),Auto-translated
嘉瀬元町(2),Kase Motomachi (2),Auto-translated
嘉瀬元町(3),Kase Motomachi (3),Auto-translated
嘉瀬新町,Kaseshinmachi,Mapped
嘉瀬新町(1),Kase Shinmachi (1),Auto-translated
嘉瀬新町(2),Kase Shinmachi (2),Auto-translated
嘉瀬橋,Kase Hashi,Auto-translated
嘉瀬橋(1),Kase Hashi (1),Auto-translated
嘉瀬橋(2),Kase Hashi (2),Auto-translated
国際村前,Kokusai Mura Mae,Auto-translated
土井,Tsuchii,Auto-translated
土井の浦,Tsuchii No Ura,Auto-translated
土元,Tsuchi Moto,Auto-translated
土場口,Doba Kuchi,Auto-translated
土場口(1),Doba Kuchi (1),Auto-translated
土場口(2),Doba Kuchi (2),Auto-translated
土師神社前,Haji Jinja Mae,Auto-translated
土穴,Tsuchi Ana,Auto-translated
在郷町,Zaikyou Machi,Auto-translated
地蔵前,Jizou Mae,Auto-translated
地蔵前(1),Jizou Mae (1),Auto-translated
地蔵前(2),Jizou Mae (2),Auto-translated
坂井,Sakai,Auto-translated
坂井(1),Sakai (1),Auto-translated
坂井(2),Sakai (2),Auto-translated
坊中,Bouchuu,Auto-translated
坊主町,Bouzu Machi,Auto-translated
坊主町(1),Bouzu Machi (1),Auto-translated
坊主町(2),Bouzu Machi (2),Auto-translated
城,Shiro,Auto-translated
城(1),Shiro (1),Auto-translated
城(2),Shiro (2),Auto-translated
城の元,Shiro No Moto,Auto-translated
城内二の門,Jounai Ni No Mon,Auto-translated
城北団地,Jouhoku Danchi,Auto-translated
城北団地(1),Jouhoku Danchi (1),Auto-translated
城北団地(2),Jouhoku Danchi (2),Auto-translated
執行分,Shikkou Fun,Auto-translated
執行分(1),Shikkou Fun (1),Auto-translated
執行分(2),Shikkou Fun (2),Auto-translated
基山パーキングエリア,Kiyama Paakingueria,Auto-translated
堀江通,Horie Toori,Auto-translated
堀江通(1),Horie Toori (1),Auto-translated
堀江通(2),Horie Toori (2),Auto-translated
堀江通(3),Horie Toori (3),Auto-translated
堀江通(4),Horie Toori (4),Auto-translated
堀立,Hori Ritsu,Auto-translated
堀立(1),Hori Ritsu (1),Auto-translated
堀立(2),Hori Ritsu (2),Auto-translated
堀立東,Hori Rittou,Auto-translated
堀立東(1),Hori Rittou (1),Auto-translated
堀立東(2),Hori Rittou (2),Auto-translated
堂地,Dou Chi,Auto-translated
堂地(1),Dou Chi (1),Auto-translated
堂地(2),Dou Chi (2),Auto-translated
堤の上,Tsutsumi No Ue,Auto-translated
堤の下,Tsutsumi No Shita,Auto-translated
堤下,Tsutsumishita,Auto-translated
塩吹,Shio Sui,Auto-translated
塩吹(1),Shio Sui (1),Auto-translated
塩吹(2),Shio Sui (2),Auto-translated
塩屋橋,Shioya Hashi,Auto-translated
塩屋橋(1),Shioya Hashi (1),Auto-translated
塩屋橋(2),Shioya Hashi (2),Auto-translated
塩田下町,Shioda Shitamachi,Auto-translated
塩田下町(1),Shioda Shitamachi (1),Auto-translated
塩田下町(2),Shioda Shitamachi (2),Auto-translated
塩田分岐,Shioda Bunki,Auto-translated
塩田分岐(1),Shioda Bunki (1),Auto-translated
塩田分岐(2),Shioda Bunki (2),Auto-translated
塩田小学校前,Shioda Shougakkou Mae,Auto-translated
塩田小学校前(1),Shioda Shougakkou Mae (1),Auto-translated
塩田小学校前(2),Shioda Shougakkou Mae (2),Auto-translated
塩鶴,Shiozuru,Auto-translated
塩鶴(1),Shiozuru (1),Auto-translated
塩鶴(2),Shiozuru (2),Auto-translated
増田口,Masuda Kuchi,Auto-translated
増田宿,Masuda Yado,Auto-translated
増田宿(1),Masuda Yado (1),Auto-translated
増田宿(2),Masuda Yado (2),Auto-translated
夏目,Natsume,Auto-translated
外津橋,Hokawazu Hashi,Auto-translated
外野,Gaiya,Auto-translated
多々良入口,Tatara Entrance,Auto-translated
多久入口,Taku Entrance,Auto-translated
多久原,Taku Hara,Auto-translated
多久原(1),Taku Hara (1),Auto-translated
多久原(2),Taku Hara (2),Auto-translated
多久市児童センター前,Taku Shi Jidou Center Mae,Auto-translated
多久市児童センター前(1),Taku Shi Jidou Center Mae (1),Auto-translated
多久市児童センター前(2),Taku Shi Jidou Center Mae (2),Auto-translated
多久市商工会館前,Taku Shi Shoukou Kaikan Mae,Auto-translated
多久市商工会館前(1),Taku Shi Shoukou Kaikan Mae (1),Auto-translated
多久市商工会館前(2),Taku Shi Shoukou Kaikan Mae (2),Auto-translated
多久市役所,Taku City Hall,Auto-translated
多久市役所(1),Taku City Hall (1),Auto-translated
多久市役所(2),Taku City Hall (2),Auto-translated
多久駅北口,Taku Station North Entrance,Mapped
多久（前原）,Taku ( Maehara),Auto-translated
多布施,Ta Fuse,Auto-translated
多布施(1),Ta Fuse (1),Auto-translated
多布施(2),Ta Fuse (2),Auto-translated
多布施橋,Ta Fuse Hashi,Auto-translated
多布施橋(1),Ta Fuse Hashi (1),Auto-translated
多布施橋(2),Ta Fuse Hashi (2),Auto-translated
多良栄町・海中鳥居前,Tara Sakaemachi . Kaichuu Torii Mae,Auto-translated
多良栄町・海中鳥居前(1),Tara Sakaemachi . Kaichuu Torii Mae (1),Auto-translated
多良栄町・海中鳥居前(2),Tara Sakaemachi . Kaichuu Torii Mae (2),Auto-translated
多良駅前,Tara Station,Auto-translated
多良駅前(1),Tara Station (1),Auto-translated
多良駅前(2),Tara Station (2),Auto-translated
夢咲コスモスタウン,Yumesaki Kosumosu Town,Mapped
夢咲コスモスタウン(1),Yumesaki Kosumosutaun (1),Auto-translated
夢咲コスモスタウン(2),Yumesaki Kosumosutaun (2),Auto-translated
夢咲コスモスタウン北,Yumesaki Kosumosutaun North,Auto-translated
夢咲コスモスタウン北(1),Yumesaki Kosumosutaun North (1),Auto-translated
夢咲コスモスタウン北(2),Yumesaki Kosumosutaun North (2),Auto-translated
夢咲コスモスタウン南,Yumesaki Kosumosutaun South,Auto-translated
夢咲コスモスタウン南(1),Yumesaki Kosumosutaun South (1),Auto-translated
夢咲コスモスタウン南(2),Yumesaki Kosumosutaun South (2),Auto-translated
夢咲公園,Yumesaki Park,Auto-translated
夢咲公園(1),Yumesaki Park (1),Auto-translated
夢咲公園(2),Yumesaki Park (2),Auto-translated
大久保（大和町）,Ookubo ( Yamatochou),Auto-translated
大久保（大和町）(1),Ookubo ( Yamatochou)(1),Auto-translated
大久保（大和町）(2),Ookubo ( Yamatochou)(2),Auto-translated
大久保（鎮西町）,Ookubo ( Chinzei Machi),Auto-translated
大井,Ooi,Auto-translated
大井(1),Ooi (1),Auto-translated
大井(2),Ooi (2),Auto-translated
大井樋,Ooi Hi,Auto-translated
大井樋(1),Ooi Hi (1),Auto-translated
大内峠,Oouchi Touge,Auto-translated
大原,Oohara,Auto-translated
大原(1),Oohara (1),Auto-translated
大原(2),Oohara (2),Auto-translated
大原橋,Oohara Hashi,Auto-translated
大原橋(1),Oohara Hashi (1),Auto-translated
大原橋(2),Oohara Hashi (2),Auto-translated
大原海水浴場前,Oohara Kaisuiyokujou Mae,Auto-translated
大原海水浴場前(1),Oohara Kaisuiyokujou Mae (1),Auto-translated
大原海水浴場前(2),Oohara Kaisuiyokujou Mae (2),Auto-translated
大原西,Oohara West,Auto-translated
大原西(1),Oohara West (1),Auto-translated
大原西(2),Oohara West (2),Auto-translated
大名小路,Daimyou Kouji,Auto-translated
大名小路(1),Daimyou Kouji (1),Auto-translated
大名小路(2),Daimyou Kouji (2),Auto-translated
大和中学校前,Yamato Chuugakkou Mae,Auto-translated
大和中学校前(1),Yamato Chuugakkou Mae (1),Auto-translated
大和中学校前(2),Yamato Chuugakkou Mae (2),Auto-translated
大和公民館,Yamato Community Center,Auto-translated
大和公民館(1),Yamato Community Center (1),Auto-translated
大和公民館(2),Yamato Community Center (2),Auto-translated
大和支所前,Yamato Branch Office Mae,Auto-translated
大和支所前(1),Yamato Branch Office Mae (1),Auto-translated
大和支所前(2),Yamato Branch Office Mae (2),Auto-translated
大和特別支援学校前,Yamato Tokubetsu Shien Gakkou Mae,Auto-translated
大和特別支援学校前(1),Yamato Tokubetsu Shien Gakkou Mae (1),Auto-translated
大和特別支援学校前(2),Yamato Tokubetsu Shien Gakkou Mae (2),Auto-translated
大土井,Dai Tsuchii,Auto-translated
大土井(1),Dai Tsuchii (1),Auto-translated
大土井(2),Dai Tsuchii (2),Auto-translated
大地町,Daichi Machi,Auto-translated
大地町(1),Daichi Machi (1),Auto-translated
大地町(2),Daichi Machi (2),Auto-translated
大坪コミュニティセンター前,Ootsubo Komyuniteisentaa Mae,Auto-translated
大坪コミュニティセンター前(1),Ootsubo Komyuniteisentaa Mae (1),Auto-translated
大坪コミュニティセンター前(2),Ootsubo Komyuniteisentaa Mae (2),Auto-translated
大堂,Oodou,Auto-translated
大塚,Ootsuka,Auto-translated
大塚(1),Ootsuka (1),Auto-translated
大塚(2),Ootsuka (2),Auto-translated
大寺,Ootera,Auto-translated
大寺(1),Ootera (1),Auto-translated
大寺(2),Ootera (2),Auto-translated
大島郵便局前,Ooshima Yuubinkyoku Mae,Auto-translated
大崎,Osaki,Mapped
大崎(1),Oosaki (1),Auto-translated
大崎(2),Oosaki (2),Auto-translated
大崎(3),Oosaki (3),Auto-translated
大崎(4),Oosaki (4),Auto-translated
大工田,Daiku Ta,Auto-translated
大工田(1),Daiku Ta (1),Auto-translated
大工田(2),Daiku Ta (2),Auto-translated
大工田西,Daiku Tanishi,Auto-translated
大工田西(1),Daiku Tanishi (1),Auto-translated
大工田西(2),Daiku Tanishi (2),Auto-translated
大手口,Oote Kuchi,Auto-translated
大手口（唐津バスセンター1番乗り場）,Oote Kuchi ( Karatsu Basusentaa 1 Ban Noriba),Auto-translated
大手口（唐津バスセンター2番乗り場）,Oote Kuchi ( Karatsu Basusentaa 2 Ban Noriba),Auto-translated
大手口（唐津バスセンター3番乗り場）,Oote Kuchi ( Karatsu Basusentaa 3 Ban Noriba),Auto-translated
大手口（旧辻薬局前）,Oote Kuchi ( Kyuu Tsuji Yakkyoku Mae),Auto-translated
大手口（降車場1）,Oote Kuchi ( Kousha Ba 1),Auto-translated
大手口（降車場2）,Oote Kuchi ( Kousha Ba 2),Auto-translated
大曲,Oomagari,Auto-translated
大曲(1),Oomagari (1),Auto-translated
大曲(2),Oomagari (2),Auto-translated
大木庭,Taiboku Niwa,Auto-translated
大木庭入口,Taiboku Niwa Entrance,Auto-translated
大村方,Oomura Hou,Auto-translated
大村方(1),Oomura Hou (1),Auto-translated
大村方(2),Oomura Hou (2),Auto-translated
大橋（厳木）,Oohashi ( Kyuuragi),Auto-translated
大橋（厳木）(1),Oohashi ( Kyuuragi)(1),Auto-translated
大橋（厳木）(2),Oohashi ( Kyuuragi)(2),Auto-translated
大橋（大和町）,Oohashi ( Yamatochou),Auto-translated
大江,Ooe,Auto-translated
大江上,Ooe Ue,Auto-translated
大江上(1),Ooe Ue (1),Auto-translated
大江上(2),Ooe Ue (2),Auto-translated
大津,Ootsu,Auto-translated
大津(1),Ootsu (1),Auto-translated
大津(2),Ootsu (2),Auto-translated
大浦入口,Ooura Entrance,Auto-translated
大浦台,Ooura Dai,Auto-translated
大浦台団地入口,Ooura Dai Danchi Entrance,Auto-translated
大浦台団地入口(1),Ooura Dai Danchi Entrance (1),Auto-translated
大浦台団地入口(2),Ooura Dai Danchi Entrance (2),Auto-translated
大浦岡,Ooura Oka,Auto-translated
大浦池通り,Ooura Ike Touri,Auto-translated
大浦浜入口,Ooura Hama Entrance,Auto-translated
大浦駅前,Ooura Station,Auto-translated
大浦駅前(1),Ooura Station (1),Auto-translated
大浦駅前(2),Ooura Station (2),Auto-translated
大牟田,Oomuta,Auto-translated
大牟田(1),Oomuta (1),Auto-translated
大牟田(2),Oomuta (2),Auto-translated
大町ひじり学園前,Oomachi Hijiri Gakuen Mae,Auto-translated
大町ひじり学園前(1),Oomachi Hijiri Gakuen Mae (1),Auto-translated
大町ひじり学園前(2),Oomachi Hijiri Gakuen Mae (2),Auto-translated
大町幹部派出所前,Oomachi Kanbu Hashutsujo Mae,Auto-translated
大町幹部派出所前(1),Oomachi Kanbu Hashutsujo Mae (1),Auto-translated
大町幹部派出所前(2),Oomachi Kanbu Hashutsujo Mae (2),Auto-translated
大町役場前,Oomachi Yakuba Mae,Auto-translated
大町役場前(1),Oomachi Yakuba Mae (1),Auto-translated
大町役場前(2),Oomachi Yakuba Mae (2),Auto-translated
大町病院前,Oomachi Byouin Mae,Auto-translated
大町病院前(1),Oomachi Byouin Mae (1),Auto-translated
大町病院前(2),Oomachi Byouin Mae (2),Auto-translated
大町駅前,Oomachi Station,Auto-translated
大町駅前(1),Oomachi Station (1),Auto-translated
大町駅前(2),Oomachi Station (2),Auto-translated
大石,Ooishi,Auto-translated
大石前,Ooishi Mae,Auto-translated
大良小学校前,Daira Shougakkou Mae,Auto-translated
大良支所前,Daira Branch Office Mae,Auto-translated
大良橋,Daira Hashi,Auto-translated
大薗,Dai Sono,Auto-translated
大薗北,Dai Sono North,Auto-translated
大詫間,Odakuma,Mapped
大谷,Ootani,Auto-translated
大谷(1),Ootani (1),Auto-translated
大谷(2),Ootani (2),Auto-translated
大財五丁目,Ootakara Go Chome,Auto-translated
大財五丁目(1),Ootakara Go Chome (1),Auto-translated
大財五丁目(2),Ootakara Go Chome (2),Auto-translated
大財六丁目,Ootakara Roku Chome,Auto-translated
大財六丁目(1),Ootakara Roku Chome (1),Auto-translated
大財六丁目(2),Ootakara Roku Chome (2),Auto-translated
大財町,Katatae,Mapped
大財町(1),Ootakara Machi (1),Auto-translated
大財町(2),Ootakara Machi (2),Auto-translated
大野,Oono,Auto-translated
大野中,Oono Naka,Auto-translated
大野中(1),Oono Naka (1),Auto-translated
大野中(2),Oono Naka (2),Auto-translated
大野原,Oonohara,Auto-translated
大野東,Oono East,Auto-translated
大野東(1),Oono East (1),Auto-translated
大野東(2),Oono East (2),Auto-translated
大門,Daimon,Auto-translated
大隈重信記念館入口,Oosumi Shigenobu Kinenkan Entrance,Auto-translated
大隈重信記念館入口(1),Oosumi Shigenobu Kinenkan Entrance (1),Auto-translated
大隈重信記念館入口(2),Oosumi Shigenobu Kinenkan Entrance (2),Auto-translated
大鶴,Ootsuru,Auto-translated
大鶴入口,Ootsuru Entrance,Auto-translated
天子社,Tenshi Sha,Auto-translated
天山宮前,Tenzan Miya Mae,Auto-translated
天山宮前(1),Tenzan Miya Mae (1),Auto-translated
天山宮前(2),Tenzan Miya Mae (2),Auto-translated
天河橋,Tenga Hashi,Auto-translated
天満町南,Tenma Machi South,Auto-translated
天満町南(1),Tenma Machi South (1),Auto-translated
天満町南(2),Tenma Machi South (2),Auto-translated
天神三丁目,Tenjin Sanchoume,Auto-translated
天神四丁目,Tenjin Shitei Me,Auto-translated
天神四丁目(1),Tenjin Shitei Me (1),Auto-translated
天神四丁目(2),Tenjin Shitei Me (2),Auto-translated
天神日銀前,Tenjin Nichigin Mae,Auto-translated
太田橋,Oota Hashi,Auto-translated
太良役場前,Tarou Yakuba Mae,Auto-translated
太良役場前(1),Tarou Yakuba Mae (1),Auto-translated
太良役場前(2),Tarou Yakuba Mae (2),Auto-translated
太良病院前,Tarou Byouin Mae,Auto-translated
太良病院前(1),Tarou Byouin Mae (1),Auto-translated
太良病院前(2),Tarou Byouin Mae (2),Auto-translated
太良高校正門前,Tarou High School Seimon Mae,Auto-translated
夫婦橋,Fuufu Hashi,Auto-translated
夫婦橋(1),Fuufu Hashi (1),Auto-translated
夫婦橋(2),Fuufu Hashi (2),Auto-translated
奥山,Okuyama,Auto-translated
妙常寺前,Myou Tsune Tera Mae,Auto-translated
妙見神社下,Myouken Jinja Shita,Auto-translated
妙見神社下(1),Myouken Jinja Shita (1),Auto-translated
妙見神社下(2),Myouken Jinja Shita (2),Auto-translated
嬉野中学校前,Ureshino Chuugakkou Mae,Auto-translated
嬉野医療センター,Ureshino Iryou Center,Auto-translated
嬉野小学校前,Ureshino Shougakkou Mae,Auto-translated
嬉野小学校前(1),Ureshino Shougakkou Mae (1),Auto-translated
嬉野小学校前(2),Ureshino Shougakkou Mae (2),Auto-translated
嬉野市役所前,Ureshino Shiyakusho Mae,Auto-translated
嬉野市役所前(1),Ureshino Shiyakusho Mae (1),Auto-translated
嬉野市役所前(2),Ureshino Shiyakusho Mae (2),Auto-translated
嬉野市役所塩田庁舎,Ureshino City Hall Shioda Chousha,Auto-translated
嬉野市役所塩田庁舎前,Ureshino City Hall Shioda Chousha Mae,Auto-translated
嬉野市役所塩田庁舎前(1),Ureshino City Hall Shioda Chousha Mae (1),Auto-translated
嬉野市役所塩田庁舎前(2),Ureshino City Hall Shioda Chousha Mae (2),Auto-translated
嬉野市役所塩田庁舎前(3),Ureshino City Hall Shioda Chousha Mae (3),Auto-translated
嬉野温泉バスセンター,Ureshino Onsen Basusentaa,Auto-translated
嬉野温泉駅,Ureshino Onsen'eki,Auto-translated
嬉野老人福祉センター前,Ureshino Roujin Fukushi Center Mae,Auto-translated
嬉野老人福祉センター前(1),Ureshino Roujin Fukushi Center Mae (1),Auto-translated
嬉野老人福祉センター前(2),Ureshino Roujin Fukushi Center Mae (2),Auto-translated
嬉野高校前,Ureshino High School Mae,Auto-translated
嬉野高校前(1),Ureshino High School Mae (1),Auto-translated
嬉野高校前(2),Ureshino High School Mae (2),Auto-translated
学園通,Gakuen Toori,Auto-translated
学園通(1),Gakuen Toori (1),Auto-translated
学園通(2),Gakuen Toori (2),Auto-translated
学校下,Gakkou Shita,Auto-translated
宇の山,U No Yama,Auto-translated
宇の木,U No Ki,Auto-translated
宇の木(1),U No Ki (1),Auto-translated
宇の木(2),U No Ki (2),Auto-translated
宇土谷,Uto Tani,Auto-translated
宇宙科学館,Uchuu Kagakukan,Auto-translated
宇漬橋,U Shi Hashi,Auto-translated
宇田川原,Udagawa Hara,Auto-translated
安住団地入口,Anjuu Danchi Entrance,Auto-translated
安住団地入口(1),Anjuu Danchi Entrance (1),Auto-translated
安住団地入口(2),Anjuu Danchi Entrance (2),Auto-translated
宝当桟橋,Takara Tou Sanbashi,Auto-translated
宮の上,Miya No Ue,Auto-translated
宮の元,Miya No Moto,Auto-translated
宮の元(1),Miya No Moto (1),Auto-translated
宮の元(2),Miya No Moto (2),Auto-translated
宮の前,Miya No Mae,Auto-translated
宮の浦,Miya No Ura,Auto-translated
宮の浦(1),Miya No Ura (1),Auto-translated
宮の浦(2),Miya No Ura (2),Auto-translated
宮の浦（福岡市西区）,Miya No Ura ( Fukuokashi Nishiku),Auto-translated
宮の浦（福岡市西区）(1),Miya No Ura ( Fukuokashi Nishiku)(1),Auto-translated
宮の浦（福岡市西区）(2),Miya No Ura ( Fukuokashi Nishiku)(2),Auto-translated
宮地嶽入口,Miyaji Gaku Entrance,Auto-translated
宮道,Miyaji,Auto-translated
宮道(1),Miyaji (1),Auto-translated
宮道(2),Miyaji (2),Auto-translated
宿（ロッジやまびこ前）,Yado ( Rojji Yamabiko Mae),Auto-translated
宿（四差路）,Yado ( Shi Sa Michi),Auto-translated
寄人,Yoryuudo,Auto-translated
寄人(1),Yoryuudo (1),Auto-translated
寄人(2),Yoryuudo (2),Auto-translated
富士大和温泉病院,Fuji Yamato Onsen Hospital,Mapped
富士小学校前,Fuji Shougakkou Mae,Auto-translated
富士小学校前(1),Fuji Shougakkou Mae (1),Auto-translated
富士支所前,Fuji Branch Office Mae,Auto-translated
富士見,Fujimi,Auto-translated
富士見(1),Fujimi (1),Auto-translated
富士見(2),Fujimi (2),Auto-translated
富田神社前,Tomita Jinja Mae,Auto-translated
富田神社前(1),Tomita Jinja Mae (1),Auto-translated
富田神社前(2),Tomita Jinja Mae (2),Auto-translated
寺の下,Tera No Shita,Auto-translated
寺の前,Tera No Mae,Auto-translated
寺井橋,Terai Hashi,Auto-translated
寺井橋(1),Terai Hashi (1),Auto-translated
寺井橋(2),Terai Hashi (2),Auto-translated
寺浦,Teraura,Auto-translated
小々森,Shou 々 Mori,Auto-translated
小々森(1),Shou 々 Mori (1),Auto-translated
小々森(2),Shou 々 Mori (2),Auto-translated
小々森入口,Shou 々 Mori Entrance,Auto-translated
小々森入口(1),Shou 々 Mori Entrance (1),Auto-translated
小々森入口(2),Shou 々 Mori Entrance (2),Auto-translated
小々森北,Shou 々 Morikita,Auto-translated
小々森北(1),Shou 々 Morikita (1),Auto-translated
小々森北(2),Shou 々 Morikita (2),Auto-translated
小倉駅新幹線口,Kokuraeki Shinkansen Kuchi,Auto-translated
小六川,Shouroku Kawa,Auto-translated
小六川(1),Shouroku Kawa (1),Auto-translated
小六川(2),Shouroku Kawa (2),Auto-translated
小切,Kogiri,Mapped
小加倉,Kokagura,Auto-translated
小加倉溜,Kokagura Tame,Auto-translated
小十入口,Shou Juu Entrance,Auto-translated
小十入口(1),Shou Juu Entrance (1),Auto-translated
小十入口(2),Shou Juu Entrance (2),Auto-translated
小原（大和町）,Kohara ( Yamatochou),Auto-translated
小友,Otomo,Auto-translated
小友入口,Otomo Entrance,Auto-translated
小城,Ogi,Auto-translated
小富士,Shou Fuji,Auto-translated
小富士園前,Shou Fuji Sono Mae,Auto-translated
小富士東,Shou Fuji East,Auto-translated
小富士東(1),Shou Fuji East (1),Auto-translated
小富士東(2),Shou Fuji East (2),Auto-translated
小川島航路乗り場,Ogawa Shima Kouro Noriba,Auto-translated
小杭,Shou Kui,Auto-translated
小杭(1),Shou Kui (1),Auto-translated
小杭(2),Shou Kui (2),Auto-translated
小松,Komatsu,Auto-translated
小松(1),Komatsu (1),Auto-translated
小松(2),Komatsu (2),Auto-translated
小楠,Shounan,Auto-translated
小浜,Obama,Auto-translated
小渕,Obuchi,Auto-translated
小渕(1),Obuchi (1),Auto-translated
小渕(2),Obuchi (2),Auto-translated
小田,Oda,Auto-translated
小田(1),Oda (1),Auto-translated
小田(2),Oda (2),Auto-translated
小田商店街入口,Oda Shoutengai Entrance,Auto-translated
小田志口,Kotaji Kuchi,Auto-translated
小田志口(1),Kotaji Kuchi (1),Auto-translated
小田志口(2),Kotaji Kuchi (2),Auto-translated
小畑,Obata,Auto-translated
小舟津,Kobune Tsu,Auto-translated
小舟津(1),Kobune Tsu (1),Auto-translated
小舟津(2),Kobune Tsu (2),Auto-translated
小関橋,Ozeki Hashi,Auto-translated
小関橋(1),Ozeki Hashi (1),Auto-translated
小関橋(2),Ozeki Hashi (2),Auto-translated
小麦原,Komugi Hara,Auto-translated
小麦原(1),Komugi Hara (1),Auto-translated
小麦原(2),Komugi Hara (2),Auto-translated
尼寺,Amadera,Auto-translated
尼寺(1),Amadera (1),Auto-translated
尼寺(2),Amadera (2),Auto-translated
尼寺東,Amadera East,Auto-translated
尼寺東(1),Amadera East (1),Auto-translated
尼寺東(2),Amadera East (2),Auto-translated
尼寺東(3),Amadera East (3),Auto-translated
尾の上,O No Ue,Auto-translated
尾崎,Ozaki,Auto-translated
屋形石,Yakata Ishi,Auto-translated
屋形石入口,Yakata Ishi Entrance,Auto-translated
山下,yama Shimo,Auto-translated
山下入口,yama Shimo Entrance,Auto-translated
山中,yama Naka,Auto-translated
山中公民館,yama Naka Community Center,Auto-translated
山中公民館前,Yamanaka Community Center,Mapped
山内東小学校前,Yamauchi East Shougakkou Mae,Auto-translated
山内東小学校前(1),Yamauchi East Shougakkou Mae (1),Auto-translated
山内東小学校前(2),Yamauchi East Shougakkou Mae (2),Auto-translated
山口,Yamaguchi,Auto-translated
山口茶屋,Yamaguchi Chaya,Auto-translated
山口茶屋(1),Yamaguchi Chaya (1),Auto-translated
山口茶屋(2),Yamaguchi Chaya (2),Auto-translated
